reference_id,name_or_id,original_smiles,canonical_smiles,parent_smiles,IC50_IKr,IC50_INa,IC50_ICaL,ic50_source,risk_label,risk_label_source,assay_context,reference,record_version
mol_025e5a329d977fe0,,Cl.Cl.FCCOc1ccccc1CCN1CCN(CCc2ccccc2Cl)CC1,Cl.Cl.FCCOc1ccccc1CCN1CCN(CCc2ccccc2Cl)CC1,Cl.Cl.FCCOc1ccccc1CCN1CCN(CCc2ccccc2Cl)CC1,850.0,,,IKr,,,,,
mol_025e7abb1b4604c8,,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc4cccnc4c3)CC1)c1cccn1-2,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc4cccnc4c3)CC1)c1cccn1-2,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc4cccnc4c3)CC1)c1cccn1-2,,1732.0,,INa,,,,,
mol_025f750fc86c21ed,,Fc1cc(OCC2(F)CCN(Cc3cc(cc(Cl)c3F)C(F)(F)F)CC2)c(cc1C(=O)NS(=O)(=O)C1CC1)C1CC1,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2(F)CCN(Cc3cc(C(F)(F)F)cc(Cl)c3F)CC2)cc1F,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2(F)CCN(Cc3cc(C(F)(F)F)cc(Cl)c3F)CC2)cc1F,,6.3,,INa,,,,,
mol_0267e8e00e71c3d4,,CC(=O)N1CC2(CC(Nc3cc4c(cn3)C3(CC3)CN(C[C@H](O)CN3CCc5ccccc5C3)C4=O)C2)C1,CC(=O)N1CC2(CC(Nc3cc4c(cn3)C3(CC3)CN(C[C@H](O)CN3CCc5ccccc5C3)C4=O)C2)C1,CC(=O)N1CC2(CC(Nc3cc4c(cn3)C3(CC3)CN(C[C@H](O)CN3CCc5ccccc5C3)C4=O)C2)C1,15100.0,,,IKr,,,,,
mol_026bc879da86c645,,COCCN1CCC[C@@H](Cn2c(-c3ccccc3C)nc3cc(-c4ccc(Cl)cc4)sc3c2=O)C1,COCCN1CCC[C@@H](Cn2c(-c3ccccc3C)nc3cc(-c4ccc(Cl)cc4)sc3c2=O)C1,COCCN1CCC[C@@H](Cn2c(-c3ccccc3C)nc3cc(-c4ccc(Cl)cc4)sc3c2=O)C1,2100.0,,,IKr,,,,,
mol_026fb7f76686f15d,,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cncc(F)c4)cc23)CC[C@]1(C)N,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cncc(F)c4)cc23)CC[C@]1(C)N,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cncc(F)c4)cc23)CC[C@]1(C)N,5000.0,,,IKr,,,,,
mol_02794c8812d17f1a,,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,14000.0,,,IKr,,,,,
mol_027dd827b49af0d9,,C[n+]1c(CCc2ccccc2)cccc1CCc1ccccc1,C[n+]1c(CCc2ccccc2)cccc1CCc1ccccc1,C[n+]1c(CCc2ccccc2)cccc1CCc1ccccc1,466.0,,,IKr,,,,,
mol_028420f9f3cbbe5b,,Cc1cnc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)c3cc(C)oc3c2)cn1,Cc1cnc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)c3cc(C)oc3c2)cn1,Cc1cnc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)c3cc(C)oc3c2)cn1,22000.0,,,IKr,,,,,
mol_02875fe581a7f16b,,CC(C)(C)NC(=O)NCc1nc2cc(C(F)(F)F)cc(C(F)(F)F)c2[nH]1,CC(C)(C)NC(=O)NCc1nc2cc(C(F)(F)F)cc(C(F)(F)F)c2[nH]1,CC(C)(C)NC(=O)NCc1nc2cc(C(F)(F)F)cc(C(F)(F)F)c2[nH]1,,,8100.0,ICaL,,,,,
mol_02877458f6a8c8b5,,COC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,COC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,COC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,10300.0,,,IKr,,,,,
