smiles,IC50_nM
C(CN1CCOCC1)Oc1ccn(n1)-c1ccc2ccccc2c1,10000.0
C(CN1CCOCC1)Oc1ccn(n1)C1CCCCC1,10000.0
C(CNCCC(c1ccccc1)c1ccccc1)Cc1ccccc1,16.425
C(CNCCN(c1ccccc1)c1ccccc1)Cc1ccccc1,605.48
C(COc1ccc(CCCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1,1000.0
C(COc1ccc(CCN2CCN(CC2)c2cccc3cccnc23)cc1)CN1CCCCCC1,7943.0
C(COc1ccc(cc1)-c1ccccc1)CN1CCCCC1,420.0
C(COc1ccc(cc1)[C@H]1Oc2ccccc2S[C@H]1c1ccccc1)CN1CCCC1,12.0
C(C[C@]1(CCOC2(CCCC2)C1)c1ccccn1)NCc1cccs1,2300.0
C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccncc1,130.0
C(Cc1ccc(Oc2nc3ccccc3s2)cc1)N1CCCCC1,2000.0
C(Cc1ccc(Oc2nc3ncccc3s2)cc1)N1CCCCC1,10000.0
C(Cc1ccc2nonc2c1)N1CCN(CCc2ccc3nonc3c2)CC1,67.0
C(Cc1cccc(CCc2ccccc2)n1)c1ccccc1,1608.0
C(N1CCC(CC1)Oc1ncnc2n(Cc3ccccc3)ccc12)c1cscn1,760.0
C(N1CCC(CC1)c1nc(cs1)-c1cc2ccccc2o1)c1nc2cnccc2[nH]1,1800.0
C(N1CCC(CC1)c1nc(cs1)-c1cc2ccccc2o1)c1nc2ncccc2[nH]1,3000.0
C(N1CCC(CC1)c1nnc([nH]1)-c1ccccn1)c1ccc(cc1)-c1nc2ccn3cnnc3c2cc1-c1ccccc1,10000.0
C(N1CCCCC1)c1ccc(Oc2nc3ccccc3s2)cc1,30000.0
C(N1CCCCC1)c1ccc(Oc2nc3ncccc3s2)cc1,10000.0
C(N1CCN(Cc2ccccc2)CC1)c1nc(no1)-c1ccccc1,12700.0
C(N1CCN(Cc2ccccc2)CC1)c1nnc(o1)-c1ccccc1,27300.0
C(N1CCN(Cc2nc3ccccc3s2)CC1)c1nc(no1)-c1ccccc1,13000.0
C(N1CCN(Cc2nc3ccccc3s2)CC1)c1nnc(o1)-c1ccccc1,30000.0
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cccnc1)c1ccccn1,20000.0
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1ccncc1)c1ccccn1,6700.0
C(Nc1nc(nc2cccc(-c3ccccc3)c12)-c1cncs1)c1ccccn1,6200.0
C(Oc1cccc(c1)-c1nc2sccn2c1-c1ccncn1)c1ccccc1,12830.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1cc(CN3CCSC3)ccc-21,10000.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1cc(Cn3cccn3)ccc-21,10000.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1cc(Cn3ccnc3)ccc-21,1430.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1cc(Cn3ccnn3)ccc-21,10000.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1cc(Cn3cncn3)ccc-21,5850.0
C(Oc1ccccc1)C#Cc1cc(cs1)-c1[nH]nc-2c1Cc1ccccc-21,10000.0
C(Oc1ccccc1)c1cccc(COc2ccccc2)n1,74.0
C(Oc1ccccc1CC(N1CCNCC1)c1ccccc1)C1CC1,2960.0
C(S\C(NC1CCCCC1)=N/C1CCCCC1)C1=CSC2=NCCN12,14250.0
C(c1cc2C3Cc4ccccc4CN3CCc2s1)c1ccccc1,21300.0
C(c1ccccc1)C1(CCNC1)c1ccc2[nH]ccc2c1,9000.0
C(c1ccccc1)C1(CCNC1)c1ccc2sccc2c1,11000.0
C(c1ccccc1)c1ncc2CCNCCc2n1,22300.0
C(c1ccccc1)n1cc(-c2ccncc2)c2ccncc12,5700.0
C(c1ccccn1)C1(CCNC1)c1ccc2[nH]ccc2c1,30000.0
C/C(=N\N=c1/[nH]c2cc(F)c(F)cc2n1C)c1ccc(F)cn1,2700.0
C/C(=N\NC(=N)N)c1ccc2c(c1)Cc1cc(/C(C)=N/NC(=N)N)ccc1-2.Cl.Cl,1120.0
C/C=C/c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1,13000.0
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1,50118.72
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,8500.0
C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,680.0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,7200.0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,2400.0
C1=CCC(c2cc3ccccc3o2)CNC1,19000.0
C1=CCC(c2ccc3ccccc3c2)CNC1,15400.0
C1C(C2=NCCN2)C1(c1ccccc1)c1ccccc1,15700.0
C1CC(CCN1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,5100.0
C1CC(CCO1)C1NC(Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)C12CC3CC(CC(C3)C1)C2,506.0
C1CC(CCO1)[C@@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,730.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccc(cc1)-c1ccccc1,17.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,380.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccn1,4026.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cccnc1,2701.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccncc1,7518.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccsc1,146.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1csc2ccccc12,87.0
C1CC(CCO1)[C@H]1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cscn1,4393.0
C1CC(CCO1)n1cc(-c2ccncc2)c2ccncc12,30000.0
C1CC(CCS1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,120.0
C1CC(CO1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,64.0
C1CC2(CCN1)Oc1ccccc1C(=C2)c1ccccc1,680.0
C1CC2CC(CC1N2c1ccccc1)c1c([nH]c2ccccc12)-c1ccccc1,17.78
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,7800.0
C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccc1,77.0
C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccccn1,200.0
C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cccnc1,190.0
C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1ccncc1,90.0
C1CCC(CC1)C1N[C@H](Cc2c1[nH]c1ccccc21)c1nc(c[nH]1)-c1cnccn1,340.0
C1CCC(CC1)c1c[nH]c(n1)C1Cc2c([nH]c3ccccc23)C(N1)C1CCOCC1,136.0
C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1,2500.0
C1CCN(C1)C12CC(C(CNC1)C(C2)c1ccccc1)c1ccccc1,2630.0
C1CCN(C1)[C@@H]([C@H](N1CCCC1)c1ccccc1)c1ccccc1,31622.78
