smiles,IC50_nM
C[C@@H](N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(Cl)cc(c1)C(F)(F)F,5.7
Fc1ccc(cc1)C(N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(=O)(=O)C2CC2)CC1)c1ccc(F)cc1,5.8
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(CN2CCC(CC2)Oc2ncc(cc2Cl)C(F)(F)F)cc1F,5.8
CC(C)Nc1ccc(F)cc1CN1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(=O)(=O)C2CC2)CC1,5.8
CC(N1CCN(Cc2cc(F)c(cc2C2CC2)C(N)=O)CC1)c1cc(Cl)cc(Cl)c1,5.9
CC(N1CCN(Cc2cc(F)c(cc2C2CC2)C(N)=O)CC1)c1cc(Cl)cc(Cl)c1,7.8
C[C@H](N1CCC(COc2cc(F)c(cc2C2CC2)C(=O)NS(C)(=O)=O)CC1)c1cc(F)cc(Cl)c1,5.9
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3cc(cc(n3)C3CC3)C(F)(F)F)CC2)cc1F,6.0
CC1(COc2cc(F)c(cc2C2CC2)C(=O)NS(=O)(=O)C2CC2)CN(C1)C(c1ccccc1)c1ccccc1,6.0
N[C@@H](Cc1ccc(cn1)C#N)c1ccccc1-c1noc2cc(Br)ccc12,25400.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(c1)C(F)(F)F,26600.0
C[C@@](O)(CS(N)(=O)=O)c1cccc(-c2nc(Cc3cc(OC(F)(F)F)ccc3F)no2)n1,27000.0
C[C@@](O)(CS(N)(=O)=O)c1cccc(-c2nc(Cc3cc(OC(F)(F)F)ccc3F)no2)n1,3600.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,27000.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,30000.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,30000.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,3900.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,8300.0
CC(O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(OC4CC4)ccc3F)n2)n1,13000.0
C[C@](O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(Cl)ccc3C(F)(F)F)n2)n1,27000.0
COCc1ccc2c(noc2c1)-c1ccccc1[C@@H](N)Cc1ccccn1,27300.0
N[C@@H](Cc1ccccn1)c1c(F)cccc1-c1noc2ccccc12,27900.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,28000.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,28000.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,30000.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,1300.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,1300.0
CC(O)(CS(N)(=O)=O)c1ccc(Cl)c(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)c1,15000.0
C[C@](O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cccc(Br)c3F)n2)n1,28000.0
C[C@]1(COC[C@@H]1O)N1CCC(CC1)c1cc2cc(NC(=O)C3CC33CC3)ncc2cc1Cl,28000.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,28000.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,30000.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,1100.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,1300.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,2200.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,2700.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,6700.0
CC(c1cccc(-c2nnn(Cc3cc(OC(F)(F)F)ccc3F)n2)n1)C(CO)S(N)(=O)=O,7800.0
C[C@](O)(CS(N)(=O)=O)c1cccc(-c2nnn(Cc3cc(Cl)cc(OC(F)(F)F)c3)n2)n1,28000.0
CS(=O)(=O)c1ccc(F)c(C[C@H](N)c2ccccc2-c2noc3cc(F)ccc23)n1,28100.0
CS(=O)(=O)c1ccc(F)c(C[C@H](N)c2ccccc2-c2noc3ccccc23)n1,29600.0
COc1ccc(c(F)c1)-c1cc(nc2cc(CCc3cnc(C)nc3)ccc12)C(N)=O,30000.0
C[C@H]1CCN1c1nc(cc(n1)C(F)(F)F)N1C[C@H]2[C@H](CC(O)=O)[C@H]2C1,30000.0
C[C@H]1CCN1c1nc2c(CCC2(F)F)c(n1)N1CC[C@H](CCC(O)=O)C1,30000.0
Cc1nnc(CNc2cc(OC[C@H]3C[C@@H]3c3ccc(C)cn3)nc(C)n2)s1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2ccc[nH]2)c1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2ccc[nH]2)c1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,30000.0
Nc1nc(c[nH]1)-c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)c2ccc[nH]2)cc1,30000.0
Nc1nc(c[nH]1)-c1ccc(NC(=O)c2ccc[nH]2)cc1,30000.0
