smiles,IC50_nM
CC1(C)NCCN(Cc2nc3cc(c(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1=O,10000.0
CC1(C)NCCN(Cc2nc3cc(c(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1=O,10000.0
FC(F)(F)c1cc2nc(CN3CCNCC3=O)[nH]c2cc1C(F)(F)F,10000.0
FC(F)(F)c1cc2nc(CN3CCNCC3=O)[nH]c2cc1C(F)(F)F,10000.0
CC(C)(C)NC(=O)Cn1c(CN2CCNCC2=O)nc2c(Cl)cc(Cl)cc12,10000.0
CC(C)(C)NC(=O)Cn1c(CN2CCNCC2=O)nc2c(Cl)cc(Cl)cc12,10000.0
N[C@H]1CCCC[C@@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@H]1CCCC[C@@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@@H]1CCCC[C@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@@H]1CCCC[C@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@H]1CCCC[C@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@H]1CCCC[C@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@@H]1CCCC[C@@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
N[C@@H]1CCCC[C@@H]1C(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NC1(Cc2nc3cc(cc(c3[nH]2)C(F)(F)F)C(F)(F)F)CCCCC1,10000.0
NC1(Cc2nc3cc(cc(c3[nH]2)C(F)(F)F)C(F)(F)F)CCCCC1,4650.0
Fc1cc(F)c2[nH]c(CN3CCNCC3=O)nc2c1,10000.0
Fc1cc(F)c2[nH]c(CN3CCNCC3=O)nc2c1,10000.0
Fc1c(F)c(F)c2[nH]c(CN3CCNCC3=O)nc2c1F,10000.0
Fc1c(F)c(F)c2[nH]c(CN3CCNCC3=O)nc2c1F,10000.0
CC(C)(N)CC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
CC(C)(N)CC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
NCCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
NCCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
NCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
NCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
CC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
CC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
FC(F)(F)c1ccc(NC(=O)CC2CNC2)nc1,10000.0
FC(F)(F)c1ccc(NC(=O)CC2CNC2)nc1,10000.0
CC(C)(C)NC(=O)Cn1c(CC2CNC2)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
CC(C)(C)NC(=O)Cn1c(CC2CNC2)nc2c(cc(cc12)C(F)(F)F)C(F)(F)F,10000.0
Clc1cc2nc(CC3CNC3)[nH]c2cc1Cl,10000.0
Clc1cc2nc(CC3CNC3)[nH]c2cc1Cl,10000.0
NC1(CC1)c1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NC1(CC1)c1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCC(=O)NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCc1nc2cc(cc(c2[nH]1)C(F)(F)F)C(F)(F)F,10000.0
NCC(=O)NCc1nc2cc(Cl)c(Cl)cc2[nH]1,10000.0
NCC(=O)NCc1nc2cc(Cl)c(Cl)cc2[nH]1,10000.0
NCc1nc2cc(Cl)c(Cl)cc2[nH]1,10000.0
NCc1nc2cc(Cl)c(Cl)cc2[nH]1,10000.0
NCCCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
NCCCC(=O)N1CC(Cc2nc3c(cc(cc3[nH]2)C(F)(F)F)C(F)(F)F)C1,10000.0
